name	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	isotopes	adduct	pcgroup	group1	group2	ms_level
M238T373	238.10658472985301	238.104527718935	238.108895838618	373.40428545498003	371.71879592725003	376.095863992646	275	NA	NA	212	135	140	1
M298T270	298.09657662082202	298.09369938907503	298.09820062175601	269.57654617519103	266.35130354570202	271.58137830533002	352	[108][M]+	NA	94	176	176	1
M127T149	127.049334501682	127.047990099554	127.051376024386	148.54177134660699	144.267892859456	163.185473849527	286	NA	NA	90	130	142	1
M148T36	148.06001391072601	148.05896875498399	148.060629698322	36.234359057753998	35.1916730583958	37.099954759177699	355	NA	NA	36	177	178	1
M121T114	121.04981101414501	121.049101217553	121.050412746475	113.981161581425	104.79243482413	118.406557625191	237	NA	NA	6	117	118	1
M263T40	263.14541926744403	263.138849928909	263.14696388398301	39.8938937191554	35.9830545235682	48.961143524624099	335	[97][M]+	NA	9	162	170	1
M253T214	253.092301115152	253.09029277289801	253.09414756573	214.43062349540401	205.55641213188801	223.22808032800401	276	NA	NA	146	132	143	1
M90T40	90.054132266111594	90.053545022757206	90.054808543377902	39.923102527115702	38.657714096734203	40.556854911923899	356	[20][M]+	NA	9	178	178	1
M281T268	281.112532042601	281.109054551795	281.113558406219	267.80441947718202	261.94910128941001	269.98978488882301	213	NA	NA	143	93	120	1
M156T34	156.07577149892199	156.074380802946	156.077385093093	33.979760306701003	29.4044056197991	35.796843064465001	347	[68][M]+	NA	68	171	175	1
